outer_fold,task,feature,coefficient,selected_candidate
1,utility,num::qrsbt_relevance_probability,-0.26130041148961664,10.0
1,utility,num::qrsbt_confidence,0.12140301778623376,10.0
1,utility,num::qrsbt_support_score,0.0,10.0
1,utility,num::base_rank,-0.07085366205365176,10.0
1,utility,action::PLACE_AT_2,-0.08098340874811749,10.0
1,utility,action::PLACE_AT_3,-0.18918853695324575,10.0
1,utility,action::PLACE_AT_5,-0.5438552036199127,10.0
1,utility,action::PLACE_AT_10,-1.3531885369532475,10.0
1,utility,interaction::qrsbt_relevance_probability__PLACE_AT_2,-0.010830808278124571,10.0
1,utility,interaction::qrsbt_relevance_probability__PLACE_AT_3,0.051278973971406315,10.0
1,utility,interaction::qrsbt_relevance_probability__PLACE_AT_5,0.08955829886208172,10.0
1,utility,interaction::qrsbt_relevance_probability__PLACE_AT_10,0.24209131055381186,10.0
1,utility,interaction::qrsbt_confidence__PLACE_AT_2,0.07168033999047571,10.0
1,utility,interaction::qrsbt_confidence__PLACE_AT_3,0.17608181351131333,10.0
1,utility,interaction::qrsbt_confidence__PLACE_AT_5,0.009709386171805372,10.0
1,utility,interaction::qrsbt_confidence__PLACE_AT_10,-0.047110748527901466,10.0
1,utility,interaction::qrsbt_support_score__PLACE_AT_2,0.0,10.0
1,utility,interaction::qrsbt_support_score__PLACE_AT_3,0.0,10.0
1,utility,interaction::qrsbt_support_score__PLACE_AT_5,0.0,10.0
1,utility,interaction::qrsbt_support_score__PLACE_AT_10,0.0,10.0
1,utility,interaction::base_rank__PLACE_AT_2,0.011295941290360727,10.0
1,utility,interaction::base_rank__PLACE_AT_3,0.05234374029937421,10.0
1,utility,interaction::base_rank__PLACE_AT_5,0.07454577494076782,10.0
1,utility,interaction::base_rank__PLACE_AT_10,0.021660561668007665,10.0
1,irrelevant,num::qrsbt_relevance_probability,0.15657314867556224,0.05
1,irrelevant,num::qrsbt_confidence,-0.1554606804971906,0.05
1,irrelevant,num::qrsbt_support_score,0.0,0.05
1,irrelevant,num::base_rank,0.08055700276663563,0.05
1,irrelevant,action::PLACE_AT_2,0.01784327063783053,0.05
1,irrelevant,action::PLACE_AT_3,0.11890501314986124,0.05
1,irrelevant,action::PLACE_AT_5,-0.12772805711924035,0.05
